state,date,abs,rate
Johor,01/01/2015,14,23.1
Johor,01/01/2016,16,26.9
Johor,01/01/2017,15,24.6
Johor,01/01/2018,17,27.8
Johor,01/01/2019,12,19.9
Johor,01/01/2020,11,19.3
Johor,01/01/2021,32,64
Johor,01/01/2022,11,22.8
Kedah,01/01/2015,13,35.3
Kedah,01/01/2016,5,13.9
Kedah,01/01/2017,10,27.3
Kedah,01/01/2018,9,25.3
Kedah,01/01/2019,6,17.4
Kedah,01/01/2020,1,3
Kedah,01/01/2021,27,81.7
Kedah,01/01/2022,11,35.7
Kelantan,01/01/2015,8,20.5
Kelantan,01/01/2016,10,26
Kelantan,01/01/2017,10,25.6
Kelantan,01/01/2018,7,18.2
Kelantan,01/01/2019,9,24.4
Kelantan,01/01/2020,13,35.8
Kelantan,01/01/2021,26,74.8
Kelantan,01/01/2022,15,44.4
Melaka,01/01/2015,6,41.2
Melaka,01/01/2016,4,27.8
Melaka,01/01/2017,4,27.8
Melaka,01/01/2018,4,27.8
Melaka,01/01/2019,0,0
Melaka,01/01/2020,3,21.7
Melaka,01/01/2021,10,75.8
Melaka,01/01/2022,2,15.3
Pahang,01/01/2015,4,21.7
Pahang,01/01/2016,1,5.5
Pahang,01/01/2017,4,22.1
Pahang,01/01/2018,6,33
Pahang,01/01/2019,9,51.5
Pahang,01/01/2020,7,40.9
Pahang,01/01/2021,14,83.4
Pahang,01/01/2022,1,6.3
Negeri Sembilan,01/01/2015,3,10.7
Negeri Sembilan,01/01/2016,10,36.2
Negeri Sembilan,01/01/2017,8,29
Negeri Sembilan,01/01/2018,9,33.3
Negeri Sembilan,01/01/2019,5,19.3
Negeri Sembilan,01/01/2020,6,23.7
Negeri Sembilan,01/01/2021,5,20.4
Negeri Sembilan,01/01/2022,5,21.2
Perak,01/01/2015,12,33.1
Perak,01/01/2016,10,28
Perak,01/01/2017,7,20.1
Perak,01/01/2018,8,23.6
Perak,01/01/2019,7,21.2
Perak,01/01/2020,6,19
Perak,01/01/2021,20,64.9
Perak,01/01/2022,6,20.3
Perlis,01/01/2015,3,69.5
Perlis,01/01/2016,0,0
Perlis,01/01/2017,1,22.5
Perlis,01/01/2018,0,0
Perlis,01/01/2019,2,49.3
Perlis,01/01/2020,1,24.4
Perlis,01/01/2021,0,0
Perlis,01/01/2022,1,26.7
Pulau Pinang,01/01/2015,6,27
Pulau Pinang,01/01/2016,11,50.5
Pulau Pinang,01/01/2017,9,41.9
Pulau Pinang,01/01/2018,4,19.3
Pulau Pinang,01/01/2019,6,29.7
Pulau Pinang,01/01/2020,7,35.6
Pulau Pinang,01/01/2021,20,107.7
Pulau Pinang,01/01/2022,4,22.6
Sabah,01/01/2015,19,34.7
Sabah,01/01/2016,30,57.6
Sabah,01/01/2017,14,26.7
Sabah,01/01/2018,10,18.9
Sabah,01/01/2019,14,26.4
Sabah,01/01/2020,18,36.3
Sabah,01/01/2021,28,67.3
Sabah,01/01/2022,13,29.8
Sarawak,01/01/2015,7,17.6
Sarawak,01/01/2016,6,15.8
Sarawak,01/01/2017,8,21.2
Sarawak,01/01/2018,11,30
Sarawak,01/01/2019,6,16.4
Sarawak,01/01/2020,7,19.7
Sarawak,01/01/2021,12,38.4
Sarawak,01/01/2022,6,19.4
Selangor,01/01/2015,21,19.4
Selangor,01/01/2016,31,29.6
Selangor,01/01/2017,25,24
Selangor,01/01/2018,20,19.6
Selangor,01/01/2019,17,17.2
Selangor,01/01/2020,23,24.6
Selangor,01/01/2021,80,88.8
Selangor,01/01/2022,19,22.7
Terengganu,01/01/2015,5,18.1
Terengganu,01/01/2016,6,21.8
Terengganu,01/01/2017,6,21.5
Terengganu,01/01/2018,3,10.6
Terengganu,01/01/2019,5,18.5
Terengganu,01/01/2020,6,22.1
Terengganu,01/01/2021,8,30.4
Terengganu,01/01/2022,10,39.5
W.P. Kuala Lumpur,01/01/2015,1,3.9
W.P. Kuala Lumpur,01/01/2016,7,27.2
W.P. Kuala Lumpur,01/01/2017,6,24.3
W.P. Kuala Lumpur,01/01/2018,10,41.3
W.P. Kuala Lumpur,01/01/2019,5,20.9
W.P. Kuala Lumpur,01/01/2020,7,30.2
W.P. Kuala Lumpur,01/01/2021,12,57
W.P. Kuala Lumpur,01/01/2022,3,15.1
W.P. Labuan,01/01/2015,0,0
W.P. Labuan,01/01/2016,1,57.1
W.P. Labuan,01/01/2017,0,0
W.P. Labuan,01/01/2018,0,0
W.P. Labuan,01/01/2019,0,0
W.P. Labuan,01/01/2020,1,58.3
W.P. Labuan,01/01/2021,5,328.5
W.P. Labuan,01/01/2022,2,145.6
W.P. Putrajaya,01/01/2015,2,69.7
W.P. Putrajaya,01/01/2016,0,0
W.P. Putrajaya,01/01/2017,0,0
W.P. Putrajaya,01/01/2018,0,0
W.P. Putrajaya,01/01/2019,0,0
W.P. Putrajaya,01/01/2020,0,0
W.P. Putrajaya,01/01/2021,1,47.5
W.P. Putrajaya,01/01/2022,1,54.4
