state,date,abs,rate
Johor,01/01/2015,18853,5.2
Johor,01/01/2016,19924,5.5
Johor,01/01/2017,20662,5.6
Johor,01/01/2018,21117,5.6
Johor,01/01/2019,21799,5.8
Johor,01/01/2020,20646,5.1
Johor,01/01/2021,26951,6.7
Johor,01/01/2022,25305,6.3
Kedah,01/01/2015,13674,6.5
Kedah,01/01/2016,13771,6.5
Kedah,01/01/2017,14332,6.7
Kedah,01/01/2018,14552,6.7
Kedah,01/01/2019,14302,6.6
Kedah,01/01/2020,13671,6.4
Kedah,01/01/2021,18457,8.6
Kedah,01/01/2022,17628,8.1
Kelantan,01/01/2015,10789,6.1
Kelantan,01/01/2016,10809,6
Kelantan,01/01/2017,11203,6.1
Kelantan,01/01/2018,11316,6.1
Kelantan,01/01/2019,11410,6.1
Kelantan,01/01/2020,10928,6.1
Kelantan,01/01/2021,13926,7.7
Kelantan,01/01/2022,13445,7.3
Melaka,01/01/2015,4959,5.6
Melaka,01/01/2016,5186,5.8
Melaka,01/01/2017,5523,6
Melaka,01/01/2018,5407,5.9
Melaka,01/01/2019,5547,6
Melaka,01/01/2020,5444,5.5
Melaka,01/01/2021,7083,7.1
Melaka,01/01/2022,6630,6.6
Pahang,01/01/2015,6611,6.1
Pahang,01/01/2016,6810,6.2
Pahang,01/01/2017,7111,6.4
Pahang,01/01/2018,7298,6.5
Pahang,01/01/2019,7168,6.4
Pahang,01/01/2020,7011,5.8
Pahang,01/01/2021,9165,7.6
Pahang,01/01/2022,8636,7.1
Negeri Sembilan,01/01/2015,8471,5.3
Negeri Sembilan,01/01/2016,8878,5.5
Negeri Sembilan,01/01/2017,9261,5.6
Negeri Sembilan,01/01/2018,9246,5.6
Negeri Sembilan,01/01/2019,9179,5.5
Negeri Sembilan,01/01/2020,8686,5.5
Negeri Sembilan,01/01/2021,10366,6.5
Negeri Sembilan,01/01/2022,11022,6.8
Perak,01/01/2015,17159,7
Perak,01/01/2016,17820,7.2
Perak,01/01/2017,18047,7.2
Perak,01/01/2018,18600,7.4
Perak,01/01/2019,18740,7.5
Perak,01/01/2020,17946,7.2
Perak,01/01/2021,21303,8.5
Perak,01/01/2022,22341,8.9
Perlis,01/01/2015,1767,7.1
Perlis,01/01/2016,1884,7.5
Perlis,01/01/2017,2004,8
Perlis,01/01/2018,2042,8.1
Perlis,01/01/2019,1996,7.9
Perlis,01/01/2020,1950,6.8
Perlis,01/01/2021,2234,7.8
Perlis,01/01/2022,2422,8.4
Pulau Pinang,01/01/2015,10226,6
Pulau Pinang,01/01/2016,10729,6.2
Pulau Pinang,01/01/2017,10727,6.2
Pulau Pinang,01/01/2018,11209,6.4
Pulau Pinang,01/01/2019,10896,6.2
Pulau Pinang,01/01/2020,10701,6.1
Pulau Pinang,01/01/2021,13978,8
Pulau Pinang,01/01/2022,12920,7.4
Sabah,01/01/2015,12511,3.4
Sabah,01/01/2016,12834,3.4
Sabah,01/01/2017,13719,3.6
Sabah,01/01/2018,13940,3.6
Sabah,01/01/2019,14713,3.8
Sabah,01/01/2020,14868,4.3
Sabah,01/01/2021,18873,5.5
Sabah,01/01/2022,17395,5.1
Sarawak,01/01/2015,12200,4.5
Sarawak,01/01/2016,12608,4.6
Sarawak,01/01/2017,13117,4.7
Sarawak,01/01/2018,13828,5
Sarawak,01/01/2019,14025,5
Sarawak,01/01/2020,14114,5.8
Sarawak,01/01/2021,17596,7.1
Sarawak,01/01/2022,16627,6.7
Selangor,01/01/2015,23804,3.9
Selangor,01/01/2016,25588,4.1
Selangor,01/01/2017,26733,4.2
Selangor,01/01/2018,27387,4.2
Selangor,01/01/2019,27786,4.3
Selangor,01/01/2020,25405,3.6
Selangor,01/01/2021,42051,6
Selangor,01/01/2022,32861,4.7
Terengganu,01/01/2015,6715,5.8
Terengganu,01/01/2016,6843,5.8
Terengganu,01/01/2017,7048,5.8
Terengganu,01/01/2018,7099,5.8
Terengganu,01/01/2019,7341,5.9
Terengganu,01/01/2020,6736,5.9
Terengganu,01/01/2021,8469,7.2
Terengganu,01/01/2022,8686,7.3
W.P. Kuala Lumpur,01/01/2015,7608,4.3
W.P. Kuala Lumpur,01/01/2016,8077,4.5
W.P. Kuala Lumpur,01/01/2017,8205,4.6
W.P. Kuala Lumpur,01/01/2018,8485,4.7
W.P. Kuala Lumpur,01/01/2019,8845,5
W.P. Kuala Lumpur,01/01/2020,8334,4.2
W.P. Kuala Lumpur,01/01/2021,13334,6.8
W.P. Kuala Lumpur,01/01/2022,9962,5.1
W.P. Labuan,01/01/2015,246,2.6
W.P. Labuan,01/01/2016,277,2.9
W.P. Labuan,01/01/2017,247,2.5
W.P. Labuan,01/01/2018,287,2.9
W.P. Labuan,01/01/2019,298,3
W.P. Labuan,01/01/2020,319,3.4
W.P. Labuan,01/01/2021,517,5.4
W.P. Labuan,01/01/2022,392,4
W.P. Putrajaya,01/01/2015,193,2.325749542080401
W.P. Putrajaya,01/01/2016,163,1.9
W.P. Putrajaya,01/01/2017,229,2.6
W.P. Putrajaya,01/01/2018,218,2.2
W.P. Putrajaya,01/01/2019,209,2
W.P. Putrajaya,01/01/2020,211,1.9
W.P. Putrajaya,01/01/2021,266,2.3
W.P. Putrajaya,01/01/2022,253,2.2
