state,type,date,abs,rate
Johor,perinatal,01/01/2015,540,8.9
Johor,perinatal,01/01/2016,543,9.1
Johor,perinatal,01/01/2017,504,8.2
Johor,perinatal,01/01/2018,576,9.4
Johor,perinatal,01/01/2019,499,8.2
Johor,perinatal,01/01/2020,456,8
Johor,perinatal,01/01/2021,431,8.6
Johor,perinatal,01/01/2022,382,7.9
Kedah,perinatal,01/01/2015,296,8
Kedah,perinatal,01/01/2016,294,8.1
Kedah,perinatal,01/01/2017,301,8.2
Kedah,perinatal,01/01/2018,283,7.9
Kedah,perinatal,01/01/2019,293,8.4
Kedah,perinatal,01/01/2020,252,7.4
Kedah,perinatal,01/01/2021,256,7.7
Kedah,perinatal,01/01/2022,237,7.7
Kelantan,perinatal,01/01/2015,321,8.2
Kelantan,perinatal,01/01/2016,366,9.5
Kelantan,perinatal,01/01/2017,363,9.2
Kelantan,perinatal,01/01/2018,335,8.7
Kelantan,perinatal,01/01/2019,344,9.3
Kelantan,perinatal,01/01/2020,302,8.3
Kelantan,perinatal,01/01/2021,331,9.5
Kelantan,perinatal,01/01/2022,282,8.3
Melaka,perinatal,01/01/2015,101,6.9
Melaka,perinatal,01/01/2016,115,7.9
Melaka,perinatal,01/01/2017,121,8.4
Melaka,perinatal,01/01/2018,137,9.5
Melaka,perinatal,01/01/2019,120,8.4
Melaka,perinatal,01/01/2020,119,8.5
Melaka,perinatal,01/01/2021,107,8.1
Melaka,perinatal,01/01/2022,101,7.7
Pahang,perinatal,01/01/2015,146,7.9
Pahang,perinatal,01/01/2016,135,7.5
Pahang,perinatal,01/01/2017,177,9.7
Pahang,perinatal,01/01/2018,172,9.4
Pahang,perinatal,01/01/2019,154,8.8
Pahang,perinatal,01/01/2020,139,8.1
Pahang,perinatal,01/01/2021,114,6.8
Pahang,perinatal,01/01/2022,111,6.9
Negeri Sembilan,perinatal,01/01/2015,253,9
Negeri Sembilan,perinatal,01/01/2016,239,8.6
Negeri Sembilan,perinatal,01/01/2017,254,9.2
Negeri Sembilan,perinatal,01/01/2018,258,9.5
Negeri Sembilan,perinatal,01/01/2019,228,8.8
Negeri Sembilan,perinatal,01/01/2020,175,6.9
Negeri Sembilan,perinatal,01/01/2021,192,7.8
Negeri Sembilan,perinatal,01/01/2022,193,8.1
Perak,perinatal,01/01/2015,260,7.1
Perak,perinatal,01/01/2016,331,9.2
Perak,perinatal,01/01/2017,297,8.5
Perak,perinatal,01/01/2018,265,7.8
Perak,perinatal,01/01/2019,309,9.3
Perak,perinatal,01/01/2020,275,8.7
Perak,perinatal,01/01/2021,244,7.9
Perak,perinatal,01/01/2022,227,7.7
Perlis,perinatal,01/01/2015,42,9.7
Perlis,perinatal,01/01/2016,33,7.5
Perlis,perinatal,01/01/2017,36,8.1
Perlis,perinatal,01/01/2018,40,9.1
Perlis,perinatal,01/01/2019,45,11
Perlis,perinatal,01/01/2020,43,10.4
Perlis,perinatal,01/01/2021,29,7.1
Perlis,perinatal,01/01/2022,35,9.3
Pulau Pinang,perinatal,01/01/2015,182,8.1
Pulau Pinang,perinatal,01/01/2016,205,9.4
Pulau Pinang,perinatal,01/01/2017,169,7.8
Pulau Pinang,perinatal,01/01/2018,191,9.2
Pulau Pinang,perinatal,01/01/2019,175,8.6
Pulau Pinang,perinatal,01/01/2020,154,7.8
Pulau Pinang,perinatal,01/01/2021,149,8
Pulau Pinang,perinatal,01/01/2022,144,8.1
Sabah,perinatal,01/01/2015,478,8.7
Sabah,perinatal,01/01/2016,464,8.9
Sabah,perinatal,01/01/2017,630,11.9
Sabah,perinatal,01/01/2018,714,13.4
Sabah,perinatal,01/01/2019,450,8.4
Sabah,perinatal,01/01/2020,572,11.5
Sabah,perinatal,01/01/2021,510,12.2
Sabah,perinatal,01/01/2022,471,10.7
Sarawak,perinatal,01/01/2015,254,6.4
Sarawak,perinatal,01/01/2016,271,7.1
Sarawak,perinatal,01/01/2017,310,8.2
Sarawak,perinatal,01/01/2018,290,7.9
Sarawak,perinatal,01/01/2019,278,7.5
Sarawak,perinatal,01/01/2020,271,7.6
Sarawak,perinatal,01/01/2021,213,6.8
Sarawak,perinatal,01/01/2022,257,8.3
Selangor,perinatal,01/01/2015,683,6.3
Selangor,perinatal,01/01/2016,773,7.4
Selangor,perinatal,01/01/2017,797,7.6
Selangor,perinatal,01/01/2018,811,7.9
Selangor,perinatal,01/01/2019,778,7.8
Selangor,perinatal,01/01/2020,663,7.1
Selangor,perinatal,01/01/2021,634,7
Selangor,perinatal,01/01/2022,631,7.5
Terengganu,perinatal,01/01/2015,279,10
Terengganu,perinatal,01/01/2016,227,8.2
Terengganu,perinatal,01/01/2017,236,8.4
Terengganu,perinatal,01/01/2018,208,7.3
Terengganu,perinatal,01/01/2019,250,9.2
Terengganu,perinatal,01/01/2020,209,7.7
Terengganu,perinatal,01/01/2021,221,8.4
Terengganu,perinatal,01/01/2022,209,8.2
W.P. Kuala Lumpur,perinatal,01/01/2015,159,6.1
W.P. Kuala Lumpur,perinatal,01/01/2016,219,8.5
W.P. Kuala Lumpur,perinatal,01/01/2017,223,9
W.P. Kuala Lumpur,perinatal,01/01/2018,194,8
W.P. Kuala Lumpur,perinatal,01/01/2019,176,7.3
W.P. Kuala Lumpur,perinatal,01/01/2020,148,6.4
W.P. Kuala Lumpur,perinatal,01/01/2021,164,7.8
W.P. Kuala Lumpur,perinatal,01/01/2022,153,7.7
W.P. Labuan,perinatal,01/01/2015,19,9.7
W.P. Labuan,perinatal,01/01/2016,14,8
W.P. Labuan,perinatal,01/01/2017,15,8.8
W.P. Labuan,perinatal,01/01/2018,17,10
W.P. Labuan,perinatal,01/01/2019,9,5.4
W.P. Labuan,perinatal,01/01/2020,16,9.3
W.P. Labuan,perinatal,01/01/2021,11,7.2
W.P. Labuan,perinatal,01/01/2022,19,13.7
W.P. Putrajaya,perinatal,01/01/2015,22,7.636237417563346
W.P. Putrajaya,perinatal,01/01/2016,17,6.6
W.P. Putrajaya,perinatal,01/01/2017,16,6.3
W.P. Putrajaya,perinatal,01/01/2018,23,9.5
W.P. Putrajaya,perinatal,01/01/2019,19,8.2
W.P. Putrajaya,perinatal,01/01/2020,16,7.4
W.P. Putrajaya,perinatal,01/01/2021,22,10.4
W.P. Putrajaya,perinatal,01/01/2022,16,8.6
Johor,neonatal,01/01/2015,285,4.7
Johor,neonatal,01/01/2016,287,4.8
Johor,neonatal,01/01/2017,274,4.5
Johor,neonatal,01/01/2018,265,4.3
Johor,neonatal,01/01/2019,238,3.9
Johor,neonatal,01/01/2020,239,4.2
Johor,neonatal,01/01/2021,221,4.4
Johor,neonatal,01/01/2022,202,4.2
Kedah,neonatal,01/01/2015,151,4.1
Kedah,neonatal,01/01/2016,171,4.8
Kedah,neonatal,01/01/2017,140,3.8
Kedah,neonatal,01/01/2018,151,4.2
Kedah,neonatal,01/01/2019,137,4
Kedah,neonatal,01/01/2020,126,3.7
Kedah,neonatal,01/01/2021,146,4.4
Kedah,neonatal,01/01/2022,114,3.7
Kelantan,neonatal,01/01/2015,169,4.3
Kelantan,neonatal,01/01/2016,193,5
Kelantan,neonatal,01/01/2017,198,5.1
Kelantan,neonatal,01/01/2018,195,5.1
Kelantan,neonatal,01/01/2019,183,5
Kelantan,neonatal,01/01/2020,145,4
Kelantan,neonatal,01/01/2021,181,5.2
Kelantan,neonatal,01/01/2022,168,5
Melaka,neonatal,01/01/2015,46,3.2
Melaka,neonatal,01/01/2016,60,4.2
Melaka,neonatal,01/01/2017,60,4.2
Melaka,neonatal,01/01/2018,71,4.9
Melaka,neonatal,01/01/2019,64,4.5
Melaka,neonatal,01/01/2020,66,4.8
Melaka,neonatal,01/01/2021,62,4.7
Melaka,neonatal,01/01/2022,64,4.9
Pahang,neonatal,01/01/2015,88,4.8
Pahang,neonatal,01/01/2016,78,4.3
Pahang,neonatal,01/01/2017,103,5.7
Pahang,neonatal,01/01/2018,111,6.1
Pahang,neonatal,01/01/2019,91,5.2
Pahang,neonatal,01/01/2020,70,4.1
Pahang,neonatal,01/01/2021,72,4.3
Pahang,neonatal,01/01/2022,63,3.9
Negeri Sembilan,neonatal,01/01/2015,131,4.7
Negeri Sembilan,neonatal,01/01/2016,119,4.3
Negeri Sembilan,neonatal,01/01/2017,130,4.7
Negeri Sembilan,neonatal,01/01/2018,125,4.6
