state,type,date,sex,abs,rate
Johor,infant,2017-01-01,both,413,6.761070639273144
Kedah,infant,2017-01-01,both,215,5.859428228817485
Kelantan,infant,2017-01-01,both,302,7.719441746331987
Melaka,infant,2017-01-01,both,95,6.602265619570505
Negeri Sembilan,infant,2017-01-01,both,148,8.186746321495741
Pahang,infant,2017-01-01,both,205,7.439666122300853
Perak,infant,2017-01-01,both,242,6.946437797806992
Perlis,infant,2017-01-01,both,25,5.621767483696874
Pulau Pinang,infant,2017-01-01,both,125,5.82370480805069
Sabah,infant,2017-01-01,both,502,9.556807797745963
Sarawak,infant,2017-01-01,both,238,6.320709619163966
Selangor,infant,2017-01-01,both,620,5.962283747006837
Terengganu,infant,2017-01-01,both,173,6.198273082297303
W.P. Kuala Lumpur,infant,2017-01-01,both,160,6.469351447517387
W.P. Labuan,infant,2017-01-01,both,12,7.121661721068249
W.P. Putrajaya,infant,2017-01-01,both,21,8.34326579261025
Johor,infant,2017-01-01,male,226,7.141051567239636
Kedah,infant,2017-01-01,male,106,5.581591280080038
Kelantan,infant,2017-01-01,male,160,7.966540529774946
Melaka,infant,2017-01-01,male,55,7.378588677220284
Negeri Sembilan,infant,2017-01-01,male,91,9.691160809371672
Pahang,infant,2017-01-01,male,123,8.716604067748564
Perak,infant,2017-01-01,male,134,7.463933604411519
Perlis,infant,2017-01-01,male,15,6.391137622496805
Pulau Pinang,infant,2017-01-01,male,71,6.4265025343953655
Sabah,infant,2017-01-01,male,297,10.95132743362832
Sarawak,infant,2017-01-01,male,136,6.959013457503965
Selangor,infant,2017-01-01,male,329,6.112628430224996
Terengganu,infant,2017-01-01,male,100,7.0536784933342735
W.P. Kuala Lumpur,infant,2017-01-01,male,85,6.681339412042131
W.P. Labuan,infant,2017-01-01,male,2,2.3094688221709005
W.P. Putrajaya,infant,2017-01-01,male,9,6.933744221879815
Johor,infant,2017-01-01,female,187,6.35254951251826
Kedah,infant,2017-01-01,female,109,6.15749632809852
Kelantan,infant,2017-01-01,female,142,7.458766677171972
Melaka,infant,2017-01-01,female,40,5.767844268204758
Negeri Sembilan,infant,2017-01-01,female,57,6.560773480662983
Pahang,infant,2017-01-01,female,82,6.099375185956561
Perak,infant,2017-01-01,female,108,6.396209653538644
Perlis,infant,2017-01-01,female,10,4.761904761904763
Pulau Pinang,infant,2017-01-01,female,54,5.184331797235023
Sabah,infant,2017-01-01,female,205,8.068324937027707
Sarawak,infant,2017-01-01,female,102,5.631936392247805
Selangor,infant,2017-01-01,female,291,5.80097280918587
Terengganu,infant,2017-01-01,female,73,5.315275957477793
W.P. Kuala Lumpur,infant,2017-01-01,female,75,6.244796003330557
W.P. Labuan,infant,2017-01-01,female,10,12.21001221001221
W.P. Putrajaya,infant,2017-01-01,female,12,9.844134536505333
Johor,infant,2018-01-01,both,422,6.9
Kedah,infant,2018-01-01,both,229,6.4
Kelantan,infant,2018-01-01,both,288,7.5
Melaka,infant,2018-01-01,both,110,7.6
Negeri Sembilan,infant,2018-01-01,both,162,8.9
Pahang,infant,2018-01-01,both,197,7.3
Perak,infant,2018-01-01,both,223,6.6
Perlis,infant,2018-01-01,both,39,8.9
Pulau Pinang,infant,2018-01-01,both,133,6.4
Sabah,infant,2018-01-01,both,534,10.1
Sarawak,infant,2018-01-01,both,262,7.2
Selangor,infant,2018-01-01,both,662,6.5
Terengganu,infant,2018-01-01,both,173,6.1
W.P. Kuala Lumpur,infant,2018-01-01,both,150,6.2
W.P. Labuan,infant,2018-01-01,both,16,9.5
W.P. Putrajaya,infant,2018-01-01,both,22,9.2
Johor,infant,2018-01-01,male,221,7.0
Kedah,infant,2018-01-01,male,136,7.4
Kelantan,infant,2018-01-01,male,173,8.7
Melaka,infant,2018-01-01,male,71,9.6
Negeri Sembilan,infant,2018-01-01,male,89,9.5
Pahang,infant,2018-01-01,male,109,7.8
Perak,infant,2018-01-01,male,112,6.4
Perlis,infant,2018-01-01,male,14,6.2
Pulau Pinang,infant,2018-01-01,male,73,6.8
Sabah,infant,2018-01-01,male,297,10.8
Sarawak,infant,2018-01-01,male,148,7.8
Selangor,infant,2018-01-01,male,362,6.9
Terengganu,infant,2018-01-01,male,96,6.6
W.P. Kuala Lumpur,infant,2018-01-01,male,82,6.6
W.P. Labuan,infant,2018-01-01,male,9,9.9
W.P. Putrajaya,infant,2018-01-01,male,12,9.6
Johor,infant,2018-01-01,female,201,6.8
Kedah,infant,2018-01-01,female,93,5.4
Kelantan,infant,2018-01-01,female,115,6.3
Melaka,infant,2018-01-01,female,39,5.6
Negeri Sembilan,infant,2018-01-01,female,73,8.2
Pahang,infant,2018-01-01,female,88,6.7
Perak,infant,2018-01-01,female,111,6.8
Perlis,infant,2018-01-01,female,25,11.8
Pulau Pinang,infant,2018-01-01,female,60,6.0
Sabah,infant,2018-01-01,female,237,9.3
Sarawak,infant,2018-01-01,female,114,6.4
Selangor,infant,2018-01-01,female,300,6.1
Terengganu,infant,2018-01-01,female,77,5.6
W.P. Kuala Lumpur,infant,2018-01-01,female,68,5.8
W.P. Labuan,infant,2018-01-01,female,7,9.0
W.P. Putrajaya,infant,2018-01-01,female,10,8.7
Johor,infant,2019-01-01,both,379,6.306366268428233
Kedah,infant,2019-01-01,both,220,6.3927471377927585
Kelantan,infant,2019-01-01,both,266,7.240459469758833
Melaka,infant,2019-01-01,both,89,6.318330256992759
Negeri Sembilan,infant,2019-01-01,both,132,7.585335018963337
Pahang,infant,2019-01-01,both,183,7.099627560521416
Perak,infant,2019-01-01,both,230,6.992369197093606
Perlis,infant,2019-01-01,both,23,5.687438180019782
Pulau Pinang,infant,2019-01-01,both,110,5.46014097091234
Sabah,infant,2019-01-01,both,347,6.586189879664428
Sarawak,infant,2019-01-01,both,208,5.708326472364016
Selangor,infant,2019-01-01,both,582,6.112739074266629
Terengganu,infant,2019-01-01,both,198,7.330618289522398
W.P. Kuala Lumpur,infant,2019-01-01,both,120,4.438526409232135
W.P. Labuan,infant,2019-01-01,both,11,6.606606606606606
W.P. Putrajaya,infant,2019-01-01,both,19,8.210890233362145
Johor,infant,2019-01-01,male,209,5.839917554105119
Kedah,infant,2019-01-01,male,129,5.475001504121293
Kelantan,infant,2019-01-01,male,153,6.389957023297897
Melaka,infant,2019-01-01,male,50,5.811354492624051
Negeri Sembilan,infant,2019-01-01,male,66,7.8796561604584525
Pahang,infant,2019-01-01,male,95,7.002466778069547
Perak,infant,2019-01-01,male,126,6.546644844517186
Perlis,infant,2019-01-01,male,15,4.206098843322818
Pulau Pinang,infant,2019-01-01,male,67,4.435733443367031
Sabah,infant,2019-01-01,male,189,6.252225871552372
Sarawak,infant,2019-01-01,male,105,5.877653503766263
Selangor,infant,2019-01-01,male,309,5.903085605552793
Terengganu,infant,2019-01-01,male,111,6.71348097847056
W.P. Kuala Lumpur,infant,2019-01-01,male,71,3.765754687980326
W.P. Labuan,infant,2019-01-01,male,7,5.0
W.P. Putrajaya,infant,2019-01-01,male,9,9.066183136899365
Johor,infant,2019-01-01,female,170,6.744546275977798
Kedah,infant,2019-01-01,female,91,7.250042151407857
Kelantan,infant,2019-01-01,female,113,8.02981001364543
Melaka,infant,2019-01-01,female,39,6.779661016949152
Negeri Sembilan,infant,2019-01-01,female,66,7.312209173498782
Pahang,infant,2019-01-01,female,88,7.192066015595428
Perak,infant,2019-01-01,female,104,7.4087140589169165
Perlis,infant,2019-01-01,female,8,7.002801120448179
Pulau Pinang,infant,2019-01-01,female,43,6.41025641025641
Sabah,infant,2019-01-01,female,158,6.894036111617727
Sarawak,infant,2019-01-01,female,103,5.5514433752775725
Selangor,infant,2019-01-01,female,273,6.310758924924435
Terengganu,infant,2019-01-01,female,87,7.8997936089958
W.P. Kuala Lumpur,infant,2019-01-01,female,49,5.062749572162008
W.P. Labuan,infant,2019-01-01,female,4,8.092485549132947
W.P. Putrajaya,infant,2019-01-01,female,10,7.431874483897605
Johor,infant,2020-01-01,both,346,6.089405139035551
Kedah,infant,2020-01-01,both,171,5.060668836934004
Kelantan,infant,2020-01-01,both,214,5.908337934842629
Melaka,infant,2020-01-01,both,88,6.357922115454086
Negeri Sembilan,infant,2020-01-01,both,100,5.85000585000585
Pahang,infant,2020-01-01,both,140,5.538193757664464
Perak,infant,2020-01-01,both,197,6.247423334284718
Perlis,infant,2020-01-01,both,35,8.54075158613958
Pulau Pinang,infant,2020-01-01,both,100,5.099439061703213
Sabah,infant,2020-01-01,both,419,8.514529567161146
Sarawak,infant,2020-01-01,both,200,5.657708628005658
